coef : -1817157468   exp : 1
coef : 2059513077   exp : 6
coef : 566271780   exp : 8
coef : 124740038   exp : 9
coef : -1466351202   exp : 12
coef : 566176597   exp : 21
coef : 1647456144   exp : 27
coef : -1189521338   exp : 56
coef : -1376534693   exp : 63
coef : -1853748085   exp : 69
coef : -1878377173   exp : 82
coef : 269903024   exp : 95
coef : -655320806   exp : 112
coef : 1555653038   exp : 115
coef : -456179343   exp : 158
coef : 1523255593   exp : 178
coef : 883714   exp : 189
coef : -817893548   exp : 226
coef : 2119746046   exp : 228
coef : 1744541292   exp : 235
coef : 1544819491   exp : 240
coef : -797772164   exp : 259
coef : -1218148563   exp : 284
coef : 1405809530   exp : 296
coef : 124201671   exp : 308
coef : 747203782   exp : 310
coef : 1377265696   exp : 325
coef : -739226439   exp : 387
coef : -547256288   exp : 406
coef : -2114815322   exp : 411
coef : -1599681551   exp : 484
coef : -339926504   exp : 501
coef : 1574034417   exp : 540
coef : -1079204896   exp : 557
coef : -820951026   exp : 570
coef : 663676713   exp : 575
coef : -1415649707   exp : 600
coef : -1788811946   exp : 604
coef : -1985718305   exp : 633
coef : 1689701294   exp : 685
coef : 1384404736   exp : 688
coef : 1430422456   exp : 693
coef : -967390206   exp : 733
coef : 256522197   exp : 742
coef : 1703443493   exp : 747
coef : -968612332   exp : 762
coef : -1002184   exp : 779
coef : 156622261   exp : 823
coef : 1743507234   exp : 857
coef : -626883889   exp : 892
coef : 1799964961   exp : 923
coef : 415920368   exp : 939
coef : -1619292647   exp : 1005
coef : 1836631140   exp : 1022
coef : 2133923291   exp : 1025
coef : -526707559   exp : 1027
coef : 306549638   exp : 1042
coef : -249354649   exp : 1051
coef : -2073323999   exp : 1091
coef : -466641387   exp : 1096
coef : 774551610   exp : 1102
coef : -1653295987   exp : 1152
coef : 977782331   exp : 1155
coef : -1615300692   exp : 1203
coef : 2053037668   exp : 1204
coef : 464074880   exp : 1236
coef : 235219340   exp : 1242
coef : 767766068   exp : 1258
coef : 1057275922   exp : 1278
coef : -85637719   exp : 1300
coef : 934302685   exp : 1307
coef : 232740613   exp : 1315
coef : -1342199624   exp : 1317
coef : 420678913   exp : 1326
coef : -1767492000   exp : 1354
coef : 170881997   exp : 1362
coef : -1760667716   exp : 1367
coef : -1840124511   exp : 1394
coef : 1460529559   exp : 1406
coef : 93185756   exp : 1412
coef : 300117882   exp : 1426
coef : 255955169   exp : 1438
coef : 1425109895   exp : 1479
coef : -933565732   exp : 1499
coef : 1366745683   exp : 1525
coef : 130882261   exp : 1543
coef : 1194035394   exp : 1546
coef : -2055126800   exp : 1581
coef : 2119462758   exp : 1600
coef : -1818551677   exp : 1608
coef : -67802259   exp : 1669
coef : -1604922280   exp : 1692
coef : 1751248578   exp : 1700
coef : 585624899   exp : 1705
coef : 1511280778   exp : 1711
coef : -1087986829   exp : 1743
coef : 1404735226   exp : 1777
coef : 1439944966   exp : 1795
coef : -867510892   exp : 1815
coef : -1619942335   exp : 1828
coef : -1249294279   exp : 1833
coef : 147762146   exp : 1910
coef : -328819900   exp : 1952
coef : -501600253   exp : 1960
coef : -994765911   exp : 1998
coef : -1790183113   exp : 2013
coef : -482044405   exp : 2066
coef : 234235762   exp : 2096
coef : -2012435820   exp : 2104
coef : 2098506230   exp : 2129
coef : 1048539749   exp : 2144
coef : 96929643   exp : 2153
coef : -1149341115   exp : 2154
coef : 2103348887   exp : 2162
coef : 1234812648   exp : 2197
coef : 1074015221   exp : 2212
coef : 348443521   exp : 2241
coef : -671428789   exp : 2283
coef : 368672805   exp : 2289
coef : -2136306426   exp : 2298
coef : -960300089   exp : 2306
coef : -1696810424   exp : 2331
coef : 244129265   exp : 2358
coef : 218292743   exp : 2416
coef : -867687016   exp : 2441
coef : 988865465   exp : 2492
coef : -322369970   exp : 2493
coef : -683388944   exp : 2500
coef : -1613266479   exp : 2523
coef : 560268785   exp : 2525
coef : 1924589393   exp : 2571
coef : 468664635   exp : 2611
coef : 1641013182   exp : 2626
coef : 1225998709   exp : 2627
coef : 1663305050   exp : 2699
coef : -1377676210   exp : 2755
coef : -1784703326   exp : 2767
coef : 1049557151   exp : 2783
coef : -1953357295   exp : 2784
coef : -1403628634   exp : 2785
coef : 862845605   exp : 2820
coef : 391544789   exp : 2829
coef : 2104284091   exp : 2899
coef : 439807093   exp : 2908
coef : 2008433041   exp : 2965
coef : 110237600   exp : 2991
coef : 256989923   exp : 3016
coef : 788566102   exp : 3023
coef : 367928822   exp : 3073
coef : -1257067717   exp : 3080
coef : 761633663   exp : 3086
coef : -1624347680   exp : 3088
coef : -1028220151   exp : 3131
coef : -877937446   exp : 3175
coef : 891417006   exp : 3208
coef : -903475719   exp : 3215
coef : -1902503760   exp : 3226
coef : -806784328   exp : 3231
coef : 770205894   exp : 3236
coef : -1901294057   exp : 3255
coef : -1575297448   exp : 3258
coef : 1380694652   exp : 3283
coef : -2143752027   exp : 3331
coef : 1494987471   exp : 3333
coef : 441974341   exp : 3337
coef : 955795268   exp : 3348
coef : -1727287038   exp : 3354
coef : -941064116   exp : 3368
coef : 2082835460   exp : 3370
coef : 2747407   exp : 3398
coef : 745527526   exp : 3460
