Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=8, sum=800.0}
Sale{showId='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, noSoldSeats=2, sum=400.0}
Sale{showId='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, noSoldSeats=5, sum=1000.0}
Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=4, sum=400.0}
Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=3, sum=300.0}
Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=7, sum=700.0}
Sale{showId='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, noSoldSeats=6, sum=1050.0}
Sale{showId='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, noSoldSeats=8, sum=1400.0}
Sale{showId='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, noSoldSeats=7, sum=1400.0}
Sale{showId='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, noSoldSeats=1, sum=200.0}
Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=2, sum=200.0}
Sale{showId='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, noSoldSeats=10, sum=2000.0}
Sale{showId='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, noSoldSeats=4, sum=700.0}
Sale{showId='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, noSoldSeats=5, sum=875.0}
Sale{showId='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, noSoldSeats=1, sum=175.0}
Sale{showId='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, noSoldSeats=2, sum=400.0}
Sale{showId='6c8e5e65-e69d-47eb-9922-c80c3c73e194', date=2020-01-02, noSoldSeats=2, sum=400.0}
Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=4, sum=400.0}
Sale{showId='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, noSoldSeats=4, sum=700.0}
Sale{showId='7f8d520a-0bd9-4e94-9100-0e35454356dc', date=2020-01-02, noSoldSeats=3, sum=300.0}
Sale{showId='87a8a618-4b11-4220-87a0-cbbd18e6b8f9', date=2020-01-02, noSoldSeats=7, sum=1225.0}
